X,Y
1.261846714,2.546604527
0.512927462,1.760238494
-0.760353003,0.301108293
-0.003323506,0.944163215
-1.140249154,0.422591313
-1.578031496,0.753147677
-0.675844842,-0.69005534
-1.620943876,0.591036558
-0.188609717,3.048065329
-2.065576738,1.97199728
-1.547318592,1.7538574
-1.167347877,1.589426887
0.93072062,1.203990221
-1.146171034,0.252322258
-1.683513177,-0.035559634
0.099434161,2.802958064
-1.329222886,0.56510578
-0.996869185,-0.255517813
-2.912861781,0.771573927
-2.568292098,0.343099194
-1.61579075,0.621639522
-1.073862888,2.144245722
0.630543826,1.291769539
-0.717620659,1.943199639
-1.053480269,0.423607354
-1.290127797,1.393617725
-1.57978746,0.359390586
-1.937609504,0.695351209
-0.901629002,2.433888613
-1.883174018,0.124116072
0.184554928,3.202113564
-0.484002045,0.32756392
-0.453401706,0.824993854
-2.399192609,1.120025102
-1.686129183,0.69125879
-1.114458018,-1.166680838
-0.476399307,0.159563241
-0.536760086,1.262458899
-1.152033902,1.713745503
-1.625888824,0.27222792
-1.995060397,0.629127075
-1.914419537,1.044585841
-0.539900869,3.13115396
-2.012942194,0.043074539
-1.129072276,0.818945818
1.524112344,1.770874985
-1.137110613,0.962216981
-1.891731566,-0.463581624
-1.088702427,-0.06271201
-0.48962621,1.330467559
-1.832753215,1.182189958
-0.49022496,-0.482973449
-1.084201418,0.488519295
-0.979946246,1.136691037
0.830952989,1.937745419
-1.243651108,1.090251834
-0.26971514,2.14171478
-0.437232833,1.529731008
0.13453406,-0.331364133
-3.613261149,0.958196997
-1.348651207,0.446049536
-1.749836898,0.901356384
-1.096046309,1.177720182
-0.386331533,2.638341702
0.577034921,3.394694367
0.445141097,2.235347926
-1.304396004,1.073771768
-2.048492931,-0.993901763
-1.765154744,1.091768267
-0.692225109,0.846736552
-1.476583949,2.940189405
0.65909812,1.008049225
-0.175377029,1.360635728
-2.621032964,0.204346899
-0.519253812,1.990878735
-1.091989374,0.318529587
-0.35022605,0.652993208
-1.007674639,1.136801066
-0.622042998,1.363649589
-0.083490219,0.126228543
-2.461351328,-0.426800261
-0.457290943,1.732939373
-0.753054384,1.421672013
-0.702552535,0.242430423
-1.135750491,1.340382787
-1.573204197,1.80536594
-1.036709727,1.419526676
0.988808699,1.853220228
-0.971880458,0.592474072
-1.027502918,1.318600702
0.335372931,1.6883273
0.991770714,0.834124379
-0.450298462,2.433952358
-1.085363153,0.085159235
1.02098105,2.44742078
-1.694185656,1.809714953
1.003813587,2.229668658
-2.592781814,0.252949726
-0.351486242,0.387830879
0.259728973,1.905186569
